"","BARRIO","FECHA","A�O_2018_PRED"
"105","Alfonso López",2018-05-19,1.96498054474708
"106","Alfonso López",2018-05-21,1.45625
"107","Alfonso López",2018-05-30,1.33213644524237
"108","Alfonso López",2018-06-15,1.75328083989501
"109","Alfonso López",2018-06-23,1.42105263157895
"110","Alfonso López",2018-07-06,1.29501915708812
"111","Alfonso López",2018-07-16,1.55892255892256
"112","Alfonso López",2018-07-26,1.53308128544423
"113","Alfonso López",2018-07-28,1.33213644524237
"114","Alfonso López",2018-08-12,1.40789473684211
"115","Alfonso López",2018-08-14,1.55925925925926
"116","Alfonso López",2018-08-19,1.7037037037037
"117","Alfonso López",2018-09-05,1.69907407407407
"118","Alfonso López",2018-09-06,1.29501915708812
"119","Alfonso López",2018-09-09,1.4375
"120","Alfonso López",2018-09-12,1.55892255892256
"121","Alfonso López",2018-09-22,1.37707948243993
"122","Alfonso López",2018-09-23,1.69907407407407
"123","Alfonso López",2018-09-30,1.53308128544423
"124","Alfonso López",2018-10-02,1.29501915708812
"125","Alfonso López",2018-10-04,1.81481481481481
"126","Alfonso López",2018-10-05,1.5546218487395
"127","Alfonso López",2018-10-06,1.68249258160237
"128","Alfonso López",2018-10-08,1.44578313253012
"129","Alfonso López",2018-11-11,1.29501915708812
"130","Alfonso López",2018-11-12,1.43214285714286
"131","Alfonso López",2018-12-08,1.65886287625418
"132","Altamira",2018-01-16,1.37707948243993
"133","Altamira",2018-02-26,1.68449931412894
"134","Altamira",2018-04-03,1.52686567164179
"135","Altamira",2018-04-10,1.43214285714286
"136","Altamira",2018-04-25,1.33213644524237
"137","Altamira",2018-05-01,1.61818181818182
"138","Altamira",2018-05-02,1.82819383259912
"139","Altamira",2018-05-13,1.44578313253012
"140","Altamira",2018-06-03,1.79329608938547
"141","Altamira",2018-06-09,1.44578313253012
"142","Altamira",2018-06-17,1.42105263157895
"143","Altamira",2018-07-01,1.42
"144","Altamira",2018-07-05,1.40789473684211
"145","Altamira",2018-08-08,1.37707948243993
"146","Altamira",2018-08-17,1.75985663082437
"147","Altamira",2018-08-20,1.29501915708812
"148","Altamira",2018-09-12,1.57943925233645
"149","Altamira",2018-09-13,1.29501915708812
"150","Altamira",2018-09-14,1.65886287625418
"151","Altamira",2018-10-02,1.33213644524237
"152","Altamira",2018-11-20,1.37707948243993
"153","Altamira",2018-12-07,1.51923076923077
"154","Altamira",2018-12-12,1.93670886075949
"155","Altavista",2018-06-23,1.29501915708812
"156","Altavista",2018-09-11,1.50955414012739
"157","Aranjuez",2018-03-04,1.29501915708812
"158","Aranjuez",2018-03-28,1.33213644524237
"159","Aranjuez",2018-06-18,1.29501915708812
"160","Aranjuez",2018-07-16,1.29501915708812
"161","Aranjuez",2018-08-14,1.37707948243993
"162","Asomadera No. 1",2018-04-12,1.50955414012739
"163","Asomadera No. 1",2018-06-07,1.52686567164179
"164","Asomadera No. 1",2018-08-08,1.29501915708812
"165","Asomadera No. 1",2018-09-13,1.37707948243993
"166","Asomadera No. 1",2018-09-14,1.33213644524237
"167","Asomadera No. 1",2018-10-06,1.37707948243993
"168","Asomadera No. 1",2018-10-17,1.58333333333333
"169","Asomadera No. 1",2018-10-23,1.45625
"170","Asomadera No. 1",2018-11-08,1.37707948243993
"171","Asomadera No. 1",2018-11-12,1.37707948243993
"172","Asomadera No. 2",2018-02-20,1.51923076923077
"173","Asomadera No. 2",2018-04-05,1.53308128544423
"174","Asomadera No. 2",2018-06-25,1.43214285714286
"175","Asomadera No. 2",2018-08-15,1.37707948243993
"176","Asomadera No. 2",2018-08-17,1.37707948243993
"177","Asomadera No. 2",2018-08-30,1.37707948243993
"178","Asomadera No. 2",2018-09-27,1.37707948243993
"179","Asomadera No. 2",2018-11-28,1.37707948243993
"180","Asomadera No. 2",2018-12-24,1.29501915708812
"181","Astorga",2018-02-04,1.43214285714286
"182","Astorga",2018-12-23,1.29501915708812
"183","Aures No. 2",2018-02-08,1.29501915708812
"184","Aures No. 2",2018-03-14,1.33213644524237
"185","Aures No. 2",2018-03-22,1.5197628458498
"186","Aures No. 2",2018-04-05,1.37707948243993
"187","Aures No. 2",2018-05-21,1.33213644524237
"188","Aures No. 2",2018-06-02,1.29501915708812
"189","Aures No. 2",2018-06-03,1.43214285714286
"190","Aures No. 2",2018-07-02,1.29501915708812
"191","Aures No. 2",2018-07-03,1.33213644524237
"192","Aures No. 2",2018-07-05,1.33213644524237
"193","Aures No. 2",2018-07-26,1.37707948243993
"194","Aures No. 2",2018-07-29,1.29501915708812
"195","Aures No. 2",2018-07-30,1.50955414012739
"196","Aures No. 2",2018-09-10,1.42
"197","Aures No. 2",2018-10-01,1.5068306010929
"198","Aures No. 2",2018-10-02,1.40789473684211
"199","Aures No. 2",2018-11-13,1.52686567164179
"200","Aures No. 2",2018-12-02,1.45625
"201","Aures No.1",2018-01-01,1.88832487309645
"202","Aures No.1",2018-01-18,1.33213644524237
"203","Aures No.1",2018-06-10,1.29501915708812
"204","Aures No.1",2018-06-24,1.57943925233645
"205","Aures No.1",2018-06-28,1.46534653465347
"206","Aures No.1",2018-08-07,1.33213644524237
"207","Aures No.1",2018-08-25,1.37707948243993
"208","Aures No.1",2018-11-08,1.33213644524237
"209","Aures No.1",2018-12-20,1.35862068965517
"210","B. Cerro  El Volador",2018-03-17,1.33213644524237
"211","Barrio Caicedo",2018-01-02,1.37707948243993
"212","Barrio Caicedo",2018-01-12,1.29501915708812
"213","Barrio Caicedo",2018-01-20,1.43214285714286
"214","Barrio Caicedo",2018-01-26,1.57963446475196
"215","Barrio Caicedo",2018-02-09,1.65886287625418
"216","Barrio Caicedo",2018-02-17,1.43214285714286
"217","Barrio Caicedo",2018-03-01,1.5546218487395
"218","Barrio Caicedo",2018-03-15,1.29501915708812
"219","Barrio Caicedo",2018-03-23,1.45625
"220","Barrio Caicedo",2018-03-26,1.46534653465347
"221","Barrio Caicedo",2018-03-31,1.5068306010929
"222","Barrio Caicedo",2018-04-08,1.62244897959184
"223","Barrio Caicedo",2018-05-04,1.65886287625418
"224","Barrio Caicedo",2018-05-12,1.44578313253012
"225","Barrio Caicedo",2018-05-21,1.42
"226","Barrio Caicedo",2018-05-22,1.35862068965517
"227","Barrio Caicedo",2018-05-26,1.42
"228","Barrio Caicedo",2018-06-08,1.37707948243993
"229","Barrio Caicedo",2018-06-23,1.33213644524237
"230","Barrio Caicedo",2018-06-30,1.44578313253012
"231","Barrio Caicedo",2018-07-24,1.64950980392157
"232","Barrio Caicedo",2018-07-27,1.45625
"233","Barrio Caicedo",2018-08-01,1.59808612440191
"234","Barrio Caicedo",2018-08-06,1.37707948243993
"235","Barrio Caicedo",2018-08-07,1.29501915708812
"236","Barrio Caicedo",2018-09-09,1.37707948243993
"237","Barrio Caicedo",2018-09-13,1.52686567164179
"238","Barrio Caicedo",2018-10-23,1.37707948243993
"239","Barrio Caicedo",2018-11-22,1.42105263157895
"240","Barrio Caicedo",2018-11-23,1.37707948243993
"241","Barrio Caicedo",2018-12-01,1.4375
"242","Barrio Caicedo",2018-12-02,1.44578313253012
"243","Barrio Colón",2018-01-02,2.2047619047619
"244","Barrio Colón",2018-01-03,1.66666666666667
"245","Barrio Colón",2018-01-05,1.33213644524237
"246","Barrio Colón",2018-01-06,1.61818181818182
"247","Barrio Colón",2018-01-10,1.96498054474708
"248","Barrio Colón",2018-01-12,2.14110429447853
"249","Barrio Colón",2018-01-13,2.47368421052632
"250","Barrio Colón",2018-01-14,1.98969072164948
"251","Barrio Colón",2018-01-16,2.23
"252","Barrio Colón",2018-01-17,1.65886287625418
"253","Barrio Colón",2018-01-19,1.84065934065934
"254","Barrio Colón",2018-01-20,2.3781512605042
"255","Barrio Colón",2018-01-21,2.28859060402685
"256","Barrio Colón",2018-01-22,2.2734375
"257","Barrio Colón",2018-01-23,2.03603603603604
"258","Barrio Colón",2018-01-24,2.26153846153846
"259","Barrio Colón",2018-01-25,1.68449931412894
"260","Barrio Colón",2018-01-27,2.47826086956522
"261","Barrio Colón",2018-01-30,2.45454545454545
"262","Barrio Colón",2018-01-31,2.26923076923077
"263","Barrio Colón",2018-02-01,1.83617747440273
"264","Barrio Colón",2018-02-06,2.17543859649123
"265","Barrio Colón",2018-02-07,1.81481481481481
"266","Barrio Colón",2018-02-08,1.57943925233645
"267","Barrio Colón",2018-02-09,2.41739130434783
"268","Barrio Colón",2018-02-10,1.55417956656347
"269","Barrio Colón",2018-02-12,1.55417956656347
"270","Barrio Colón",2018-02-13,2.42465753424658
"271","Barrio Colón",2018-02-14,2.42465753424658
"272","Barrio Colón",2018-02-15,2.04294478527607
"273","Barrio Colón",2018-02-17,2.11052631578947
"274","Barrio Colón",2018-02-18,1.84705882352941
"275","Barrio Colón",2018-02-19,1.82876712328767
"276","Barrio Colón",2018-02-20,2.08695652173913
"277","Barrio Colón",2018-02-21,1.84172661870504
"278","Barrio Colón",2018-02-23,2.03249097472924
"279","Barrio Colón",2018-02-25,1.99674267100977
"280","Barrio Colón",2018-02-27,2.18867924528302
"281","Barrio Colón",2018-02-28,1.33213644524237
"282","Barrio Colón",2018-03-01,2.04545454545455
"283","Barrio Colón",2018-03-03,2.27464788732394
"284","Barrio Colón",2018-03-04,2.16949152542373
"285","Barrio Colón",2018-03-06,2.61538461538462
"286","Barrio Colón",2018-03-07,1.78275862068966
"287","Barrio Colón",2018-03-08,2.28181818181818
"288","Barrio Colón",2018-03-09,1.51923076923077
"289","Barrio Colón",2018-03-12,2.14925373134328
"290","Barrio Colón",2018-03-13,1.78275862068966
"291","Barrio Colón",2018-03-15,2.07920792079208
"292","Barrio Colón",2018-03-16,2.17543859649123
"293","Barrio Colón",2018-03-17,1.81714285714286
"294","Barrio Colón",2018-03-21,2.18867924528302
"295","Barrio Colón",2018-03-22,2.26442307692308
"296","Barrio Colón",2018-03-25,2.07563025210084
"297","Barrio Colón",2018-03-26,1.74622356495468
"298","Barrio Colón",2018-03-31,2.14393939393939
"299","Barrio Colón",2018-04-02,1.29501915708812
"300","Barrio Colón",2018-04-03,1.7185628742515
"301","Barrio Colón",2018-04-05,2.4957264957265
"302","Barrio Colón",2018-04-06,2.15238095238095
