"","MES","BARRIO","A�O_2018_PRED"
"1","01","",2.7357001720951
"2","01","Área de Expansión Pajarito",2.67209863952805
"3","01","Alejandría",2.81457948243993
"4","01","Alejandro Echavarría",4.1654659276823
"5","01","Alfonso López",7.2109867033743
"6","01","Altamira",1.37707948243993
"7","01","Aures No.1",3.22046131833882
"8","01","Barrio Caicedo",5.68387596142286
"9","01","Barrio Colón",41.2450190927436
"10","01","Barrio Colombia",10.5389067934996
"11","01","Belén",29.0512517618558
"12","01","Belalcázar",1.33213644524237
"13","01","Bolivariana",2.88761086474501
"14","01","Bomboná No. 1",4.40064324903828
"15","01","Bosques de San Pablo",2.80457329721551
"16","01","Boston",15.698794368695
"17","01","Brasilia",2.90394515408172
"18","01","Buenos Aires",1.53308128544423
"19","01","Córdoba",1.33213644524237
"20","01","Cabecera San Antonio de Prado",8.69393829775938
"21","01","Cabecera Urbana San Cristobal",1.40789473684211
"22","01","Calasanz",1.33213644524237
"23","01","Calasanz Parte Alta",1.29501915708812
"24","01","Calle Nueva",11.3715183322625
"25","01","Campo Alegre",2.74003118208448
"26","01","Campo Amor",39.5267971478044
"27","01","Campo Valdés No. 1",8.69990974060399
"28","01","Campo Valdés No. 2",4.21518099969782
"29","01","Caribe",41.5917821647709
"30","01","Carlos E. Restrepo",27.9761015240961
"31","01","Castilla",24.2015946586324
"32","01","Castropol",6.39934483056211
"33","01","Cerro Nutibara",1.42105263157895
"34","01","Corazón de Jesús",14.2669916880421
"35","01","Cristo Rey",11.9680855097968
"36","01","Cuarta Brigada",4.66835689239535
"37","01","Cucaracho",8.15488917695654
"38","01","El Chagualo",6.56016658299028
"39","01","El Diamante",7.91484194765179
"40","01","El Estadio",8.24835505501593
"41","01","El Nogal-Los Almendros",1.33213644524237
"42","01","El Poblado",8.83215882861539
"43","01","El Progreso",17.6158205773875
"44","01","El Rincón",5.69297347971506
"45","01","El Salvador",2.90179455445545
"46","01","El Tesoro",2.62715560233049
"47","01","El Velódromo",1.37707948243993
"48","01","Enciso",1.37707948243993
"49","01","Estación Villa",5.9829989920908
"50","01","Fátima",4.67825984067939
"51","01","Facultad de Minas U. Nacional",1.44578313253012
"52","01","Florencia",1.29501915708812
"53","01","Florida Nueva",4.04135237292467
"54","01","Francisco Antonio Zea",2.82286261497005
"55","01","Girardot",6.00550688967559
"56","01","Granada",1.40789473684211
"57","01","Guayabal",17.1991332739397
"58","01","Guayaquil",31.183941386873
"59","01","Héctor Abad Gómez",2.79707948243993
"60","01","Jesús Nazareno",14.4401342707811
"61","01","Kennedy",2.74080228961824
"62","01","La Aguacatala",7.83687212141085
"63","01","La Alpujarra",5.62743591218556
"64","01","La América",1.45011086474501
"65","01","La Candelaria",43.1096645279875
"66","01","La Castellana",4.15499906021242
"67","01","La Esperanza",1.42
"68","01","La Floresta",1.40789473684211
"69","01","La Florida",2.59003831417625
"70","01","La Gloria",5.54157552206369
"71","01","La Isla",1.29501915708812
"72","01","La Libertad",1.33213644524237
"73","01","La Palma",1.44578313253012
"74","01","López de Mesa",6.93899549325431
"75","01","Las Acacias",5.84598101667824
"76","01","Las Brisas",5.88656556942735
"77","01","Las Granjas",4.30992786937223
"78","01","Las Lomas No.1",1.57943925233645
"79","01","Las Lomas No.2",1.29501915708812
"80","01","Las Palmas",1.7710843373494
"81","01","Laureles",7.35438217232134
"82","01","Lorena",1.29501915708812
"83","01","Loreto",3.0848834751804
"84","01","Los Ángeles",16.0914484543483
"85","01","Los Alpes",1.37707948243993
"86","01","Los Colores",15.3909587408415
"87","01","Los Conquistadores",40.0533632564327
"88","01","Los Mangos",1.37707948243993
"89","01","Los Naranjos",1.29501915708812
"90","01","Los Pinos",4.5974537037037
"91","01","Manila",9.83951904365262
"92","01","Manrique Central No. 1",5.83471778775083
"93","01","Manrique Central No. 2",3.02607655502392
"94","01","Manrique Oriental",1.29501915708812
"95","01","Miranda",4.29495943135436
"96","01","Moravia",9.67666639877037
"97","01","Naranjal",30.7313658273218
"98","01","Palenque",1.33213644524237
"99","01","Parque Juan Pablo II",1.44554455445545
"100","01","Patio Bonito",4.1654659276823
"101","01","Pedregal",5.71133344251262
"102","01","Perpetuo Socorro",40.6234490016098
"103","01","Popular",3.08464250765001
"104","01","Prado",13.698161966942
"105","01","Robledo",7.99508696146588
"106","01","Rosales",12.9252569369361
"107","01","San Benito",18.5683068858695
"108","01","San Bernardo",3.30812595226003
"109","01","San Diego",27.0704341166954
"110","01","San Germán",4.15402127397228
"111","01","San Isidro",1.43214285714286
"112","01","San Javier No.1",3.26142559063068
"113","01","San Martín de Porres",2.90284653465347
"114","01","San Miguel",1.33213644524237
"115","01","San Pablo",1.40789473684211
"116","01","San Pedro",2.95900852878465
"117","01","Santa Fé",32.7550575419344
"118","01","Santa María de los Ángeles",1.29501915708812
"119","01","Santander",2.62715560233049
"120","01","Sevilla",9.12735387798515
"121","01","Sucre",4.12052289048474
"122","01","Suramericana",9.9640132656989
"123","01","Tejelo",2.67209863952805
"124","01","Tenche",2.7092159276823
"125","01","Terminal de Transporte",32.7784657338065
"126","01","Toscana",4.26098956597275
"127","01","Tricentenario",3.08626985342934
"128","01","Trinidad",5.52328270388615
"129","01","Universidad de Antioquia",1.42105263157895
"130","01","Universidad Nacional",13.6126253603212
"131","01","Villa Carlota",19.3790356676568
"132","01","Villa del Socorro",1.70756302521008
"133","01","Villa Flora",7.38282406055016
"134","01","Villa Guadalupe",1.29501915708812
"135","01","Villa Hermosa",1.58333333333333
"136","01","Villa Nueva",20.6519570445108
"137","02","Área de Expansión Pajarito",2.78838644524237
"138","02","Alejandría",2.93633874169919
"139","02","Alejandro Echavarría",3.3770965876229
"140","02","Alfonso López",10.1487091535068
"141","02","Altamira",1.68449931412894
"142","02","Asomadera No. 2",1.51923076923077
"143","02","Astorga",1.43214285714286
"144","02","Aures No. 2",1.29501915708812
"145","02","Barrio Caicedo",3.09100573339704
"146","02","Barrio Colón",37.0889651686043
"147","02","Barrio Colombia",13.9226623067333
"148","02","Belén",21.9288889572126
"149","02","Belalcázar",1.42
"150","02","Berlin",8.89073812148626
