;NOMBRE;grupo
258;La Candelaria;8
259;Manila;5
260;BatallÇün Girardot;6
261;Villatina;5
262;Barrio ColÇün;8
263;JardÇğn BotÇ­nico;8
264;San Isidro;5
265;San JosÇ¸ La Cima No.2;6
266;Antonio NariÇño;5
267;Ferrini;8
268;La IlusiÇün;
269;CÇürdoba;5
270;EstaciÇün Villa;8
271;Florencia;5
272;Cementerio Universal;6
273;Aures No.2;5
274;Blanquizal;8
275;La Ladera;5
276;Asomadera No.2;5
277;Parque Norte;6
278;Sucre;8
279;La Palma;5
280;El Astillero;
281;Potrerito;2
282;Çrea de ExpansiÇün Pajarito;5
283;Çrea de ExpansiÇün San Antonio de Prado;6
284;La Loma;5
285;Yarumalito;
286;Mazo;
287;El CorazÇün El Morro;6
288;La Salle;8
289;La piÇñuela;5
290;Lopez de  Mesa;
291;Yolombo;6
292;El Picacho;5
293;La Cuchilla;
294;El LLano;2
295;La Colina;8
296;San Javier No.1;8
297;HÇ¸ctor Abad GÇümez;8
298;Castilla;5
299;Florida Nueva;8
300;Estadio;8
301;El Socorro;2
302;Versalles No.2;6
303;BombonÇ­ No.1;8
304;Centro Administrativo;8
305;Campo ValdÇ¸s No.2;8
306;Granada;8
307;Los Alpes;5
308;Facultad de Minas U. Nacional;8
309;Campo Alegre;5
310;Altavista;2
311;La Sucia;
312;La Aldea;
313;La Frisola;
314;Volcana Guayabal;3
315;La Suiza;
316;San JosÇ¸ de La MontaÇña;7
317;Naranjal;8
318;Piedras Blancas - Matasano;5
319;Pajarito;5
320;El Uvito;3
321;TravesÇğas;4
322;Pedregal Alto;8
323;El Patio;
324;Las Playas;5
325;Çrea de ExpansiÇün San CristÇübal;8
326;Eduardo Santos;6
327;Çrea de ExpansiÇün Altavista;2
328;Çrea de ExpansiÇün BelÇ¸n RincÇün;2
329;Cabecera Urbana Corregimiento San CristÇübal;8
330;San JosÇ¸ del Manzanillo;
331;Guayabal;8
