"","MES","BARRIO","A�O_2017_PRED","A�O_2018_PRED"
"1","01","",2.83192730860892,2.76434049333773
"2","01","Área de Expansión Pajarito",2.83192730860892,2.76434049333773
"3","01","Alejandría",2.87705956907478,2.84917617237009
"4","01","Alejandro Echavarría",4.50565161548354,4.36669344840296
"5","01","Alfonso López",7.9548488749229,7.5049104654122
"6","01","Altamira",1.43852978453739,1.42458808618504
"7","01","Aures No.1",3.4874090932647,3.18256970715987
"8","01","Barrio Caicedo",6.07559202595784,5.91931125357165
"9","01","Barrio Colón",41.5274690060334,39.7609726570143
"10","01","Barrio Colombia",11.2746744495613,10.843150923985
"11","01","Belén",29.532707795201,29.5838275237125
"12","01","Belalcázar",1.45145018915511,1.40479192938209
"13","01","Bolivariana",2.93180332713829,2.90440871398773
"14","01","Bomboná No. 1",4.82645018915511,4.48433738392755
"15","01","Bosques de San Pablo",2.84484771322663,2.74454433653478
"16","01","Boston",16.4768416637242,16.0410146669089
"17","01","Brasilia",3.06815941416702,3.03569919729616
"18","01","Buenos Aires",1.61567164179104,1.53731343283582
"19","01","Córdoba",1.45145018915511,1.40479192938209
"20","01","Cabecera San Antonio de Prado",9.25778383260583,8.93861380028674
"21","01","Cabecera Urbana San Cristobal",1.4932735426009,1.47982062780269
"22","01","Calasanz",1.45145018915511,1.40479192938209
"23","01","Calasanz Parte Alta",1.39339752407153,1.33975240715268
"24","01","Calle Nueva",11.9105546508798,11.5718865706554
"25","01","Campo Alegre",2.944723731756,2.88461255718478
"26","01","Campo Amor",41.0349992415133,38.6887526095317
"27","01","Campo Valdés No. 1",9.08349715598998,8.91593499481473
"28","01","Campo Valdés No. 2",4.5774799736925,4.36915274283986
"29","01","Caribe",42.3889705175436,41.8066662017532
"30","01","Carlos E. Restrepo",27.4277104984181,25.9130517342062
"31","01","Castilla",23.4169907155506,22.7319616815239
"32","01","Castropol",6.85062042781224,6.83630487816499
"33","01","Cerro Nutibara",1.67810026385224,1.5197889182058
"34","01","Corazón de Jesús",14.3776767310007,13.7398362489288
"35","01","Cristo Rey",12.5098110456692,12.0466373014113
"36","01","Cuarta Brigada",4.52634361005613,4.37990266365076
"37","01","Cucaracho",8.61554208982281,8.3106307885006
"38","01","El Chagualo",6.97642963377257,6.76902922602968
"39","01","El Diamante",8.66045695693234,8.41363895344617
"40","01","El Estadio",8.56782796048001,8.41373475771359
"41","01","El Nogal-Los Almendros",1.45145018915511,1.40479192938209
"42","01","El Poblado",9.32490801058337,9.1286515089951
"43","01","El Progreso",18.5486787783149,17.8780349779533
"44","01","El Rincón",5.94653557870449,5.91855433194536
"45","01","El Salvador",3.30317164179105,3.07708616010855
"46","01","El Tesoro",2.84484771322663,2.74454433653478
"47","01","El Velódromo",1.43852978453739,1.42458808618504
"48","01","Enciso",1.43852978453739,1.42458808618504
"49","01","Estación Villa",6.21218643757554,5.99581156956561
"50","01","Fátima",4.79348408710218,4.75337102177554
"51","01","Facultad de Minas U. Nacional",1.53015075376884,1.50753768844221
"52","01","Florencia",1.39339752407153,1.33975240715268
"53","01","Florida Nueva",4.3414301628476,4.23417194494923
"54","01","Francisco Antonio Zea",2.96868053830623,2.93212577462726
"55","01","Girardot",6.66333334509293,6.2699264549403
"56","01","Granada",1.4932735426009,1.47982062780269
"57","01","Guayabal",17.6933688251759,17.7573735298344
"58","01","Guayaquil",31.3786901008518,30.3459349228043
"59","01","Héctor Abad Gómez",2.92311128233475,2.93119601570046
"60","01","Jesús Nazareno",15.0041660753087,14.4237468044593
"61","01","Kennedy",2.92354827784037,2.84729009559489
"62","01","La Aguacatala",8.36709256828773,8.34479791089514
"63","01","La Alpujarra",5.81352825153287,5.67667011116203
"64","01","La América",1.4932735426009,1.47982062780269
"65","01","La Candelaria",44.2239616205563,42.9439331800697
"66","01","La Castellana",4.42013072746134,4.33691770400935
"67","01","La Esperanza",1.48458149779736,1.50660792951542
"68","01","La Floresta",1.4932735426009,1.47982062780269
"69","01","La Florida",2.78679504814305,2.67950481430536
"70","01","La Gloria",6.1966722839535,5.86668620980581
"71","01","La Isla",1.39339752407153,1.33975240715268
"72","01","La Libertad",1.45145018915511,1.40479192938209
"73","01","La Palma",1.53015075376884,1.50753768844221
"74","01","López de Mesa",7.40628066999455,7.26006416163362
"75","01","Las Acacias",6.20988218101656,5.93794005142043
"76","01","Las Brisas",6.47908435095442,6.21293266725408
"77","01","Las Granjas",4.63909593816079,4.52467174908072
"78","01","Las Lomas No.1",1.6140350877193,1.54385964912281
"79","01","Las Lomas No.2",1.39339752407153,1.33975240715268
"80","01","Las Palmas",1.9,2.06474820143885
"81","01","Laureles",8.05258244834165,7.78367049284522
"82","01","Lorena",1.39339752407153,1.33975240715268
"83","01","Loreto",3.39852978453739,3.31258808618504
"84","01","Los Ángeles",16.7833493288064,16.0287381495291
"85","01","Los Alpes",1.43852978453739,1.42458808618504
"86","01","Los Colores",15.4214092332196,15.2354233728554
"87","01","Los Conquistadores",40.2193489078144,40.2541440562582
"88","01","Los Mangos",1.43852978453739,1.42458808618504
"89","01","Los Naranjos",1.39339752407153,1.33975240715268
"90","01","Los Pinos",4.83304758017459,4.76959382671317
"91","01","Manila",10.7397766303406,10.2183474324932
"92","01","Manrique Central No. 1",6.16623371164355,6.05541719209752
"93","01","Manrique Central No. 2",3.17137380645314,2.9996095460085
"94","01","Manrique Oriental",1.39339752407153,1.33975240715268
"95","01","Miranda",4.46829094497255,4.31486314142135
"96","01","Moravia",10.1092105285909,9.58296900221506
"97","01","Naranjal",32.0566771297869,31.445944857989
"98","01","Palenque",1.45145018915511,1.40479192938209
"99","01","Parque Juan Pablo II",1.6875,1.53977272727273
"100","01","Patio Bonito",4.50565161548354,4.36669344840296
"101","01","Pedregal",5.9554652505669,5.77803159407204
"102","01","Perpetuo Socorro",38.4013074023512,38.7428307132355
"103","01","Popular",3.28025640324242,3.09365283438648
"104","01","Prado",14.3853735178127,13.9134718389318
"105","01","Robledo",8.36890557566887,7.99961530512692
"106","01","Rosales",13.0187868628292,12.8885823699278
"107","01","San Benito",18.5142769304429,18.4415575362572
"108","01","San Bernardo",3.44581031327564,3.1558042438763
"109","01","San Diego",28.39405346441,26.1968557590708
"110","01","San Germán",4.47447734285626,4.35565544764589
"111","01","San Isidro",1.6140350877193,1.54385964912281
"112","01","San Javier No.1",3.42879940241749,3.40618633709086
"113","01","San Martín de Porres",2.96868053830623,2.93212577462726
"114","01","San Miguel",1.45145018915511,1.40479192938209
"115","01","San Pablo",1.4932735426009,1.47982062780269
"116","01","San Pedro",3.24366471734893,3.15497076023392
"117","01","Santa Fé",31.3350979731402,31.3159273980621
"118","01","Santa María de los Ángeles",1.39339752407153,1.33975240715268
"119","01","Santander",2.84484771322663,2.74454433653478
"120","01","Sevilla",9.35938238562483,8.80330859626341
"121","01","Sucre",4.51857202010126,4.34689729160001
"122","01","Suramericana",10.3159102113348,10.2196640600999
"123","01","Tejelo",2.83192730860892,2.76434049333773
"124","01","Tenche",2.8899799736925,2.82938001556714
"125","01","Terminal de Transporte",33.3454080850938,32.0214887412942
"126","01","Toscana",4.65740638988403,4.43877154809263
"127","01","Tricentenario",3.39438190852855,3.13345502484535
"128","01","Trinidad",5.83935992039974,5.64795254961322
"129","01","Universidad de Antioquia",1.67810026385224,1.5197889182058
"130","01","Universidad Nacional",15.063443150462,14.5180114933906
"131","01","Villa Carlota",20.7641876014483,20.4321109738714
"132","01","Villa del Socorro",1.84172661870504,1.66906474820144
"133","01","Villa Flora",7.91710180463865,7.65948537778505
"134","01","Villa Guadalupe",1.39339752407153,1.33975240715268
"135","01","Villa Hermosa",1.43852978453739,1.42458808618504
"136","01","Villa Nueva",21.9914409214622,21.3328761146479
"137","02","Área de Expansión Pajarito",3.06712183094615,2.94210536221791
"138","02","Alejandría",3.07489342090103,2.97511073426867
"139","02","Alejandro Echavarría",3.69968299766519,3.40763938549552
"140","02","Alfonso López",11.0514350680713,10.5589527492344
"141","02","Altamira",1.77884615384615,1.80769230769231
"142","02","Asomadera No. 2",1.68,1.6
"143","02","Astorga",1.6140350877193,1.54385964912281
"144","02","Aures No. 2",1.39339752407153,1.33975240715268
"145","02","Barrio Caicedo",3.64996323143187,3.32829078684736
"146","02","Barrio Colón",38.3404268445245,37.0042340083722
"147","02","Barrio Colombia",14.6224407752397,13.7202627306304
"148","02","Belén",22.6423627200054,21.8580137224137
"149","02","Belalcázar",1.48458149779736,1.50660792951542
"150","02","Berlin",9.36727940779944,9.02067714093779
"151","02","Bolivariana",6.18985196054504,5.93965622447232
"152","02","Bomboná No. 1",6.5168741967894,6.41118393888139
"153","02","Bosques de San Pablo",1.45145018915511,1.40479192938209
"154","02","Boston",27.2512667760936,25.6101671245532
"155","02","Boyacá",1.53015075376884,1.50753768844221
"156","02","Brasilia",1.39339752407153,1.33975240715268
"157","02","Córdoba",1.45145018915511,1.40479192938209
"158","02","Cabecera San Antonio de Prado",18.1888104564234,17.7108349830158
"159","02","Cabecera Urbana San Cristobal",7.63004484594918,7.33760047814772
"160","02","Calasanz",2.84484771322663,2.74454433653478
"161","02","Calle Nueva",12.9730462624027,12.8773468691895
"162","02","Campo Alegre",2.84484771322663,2.74454433653478
"163","02","Campo Amor",59.9153505250158,57.9674121387553
"164","02","Campo Valdés No. 1",8.4389926351213,8.16370564894168
"165","02","Campo Valdés No. 2",3.23512414277656,3.00881715535412
"166","02","Caribe",44.5753982933337,42.667041939933
"167","02","Carlos E. Restrepo",33.2597219901876,32.8306462909971
"168","02","Castilla",30.5952255668394,29.2123284592231
"169","02","Castropol",11.3101730142702,10.9348051923636
"170","02","Cataluña",1.39339752407153,1.33975240715268
"171","02","Cerro Nutibara",2.78679504814305,2.67950481430536
"172","02","Corazón de Jesús",23.4268027199972,22.7881734851855
"173","02","Cristo Rey",15.6692337699197,14.6676963299092
"174","02","Cuarta Brigada",11.4465308138265,11.1642395057571
"175","02","Cucaracho",6.41040195403292,6.00147935543247
"176","02","Diego Echavarría",1.43852978453739,1.42458808618504
"177","02","Doce de Octubre No.1",1.6875,1.53977272727273
"178","02","Doce de Octubre No.2",1.43852978453739,1.42458808618504
"179","02","El Chagualo",10.8663135099316,10.7299658761359
"180","02","El Danubio",3.05256487225669,2.96844773530785
"181","02","El Diamante",7.54968118046869,7.26149855159725
"182","02","El Estadio",17.569095788004,16.5401243941769
"183","02","El Nogal-Los Almendros",1.39339752407153,1.33975240715268
"184","02","El Pesebre",1.39339752407153,1.33975240715268
"185","02","El Pinal",3.34385901387429,3.15607325329577
"186","02","El Poblado",9.02516423293278,8.8343714588646
"187","02","El Pomar",1.43852978453739,1.42458808618504
"188","02","El Progreso",24.3496078483103,24.0283766075567
"189","02","El Raizal",1.6140350877193,1.54385964912281
"190","02","El Rincón",3.29800789662599,3.02539483129935
