"","SEMANA","COMUNA","A�O_2018_PRED"
"157","06","Corregimiento de Altavista",2.55803645997489
"158","06","Corregimiento de San Antonio de Prado",6.36431626817521
"159","06","Corregimiento de San Cristóbal",8.26862575878748
"160","06","Corregimiento de Santa Elena",9.1402238402693
"161","06","Doce de Octubre",21.8296432547291
"162","06","El Poblado",68.1988963431475
"163","06","Guayabal",55.783279362753
"164","06","In",1.07321507006532
"165","06","La América",27.6887791899008
"166","06","La Candelaria",130.885136513651
"167","06","Laureles Estadio",83.0201018178741
"168","06","Manrique",20.706567210475
"169","06","Popular",9.82473573165235
"170","06","Robledo",50.6470352691378
"171","06","San Javier",16.1717441098381
"172","06","Santa Cruz",9.24507349651221
"173","06","Villa Hermosa",21.5696921976382
"174","07","",2.65863235498051
"175","07","Aranjuez",49.5648425296067
"176","07","Belén",60.3729073204187
"177","07","Buenos Aires",24.3330786094184
"178","07","Castilla",73.5969689327585
"179","07","Corregimiento de Altavista",0.481444991789819
"180","07","Corregimiento de San Antonio de Prado",4.93243768377214
"181","07","Corregimiento de San Cristóbal",8.96743664721428
"182","07","Corregimiento de Santa Elena",6.5954455020746
"183","07","Doce de Octubre",17.1448922608024
"184","07","El Poblado",61.917598863149
"185","07","Guayabal",62.4191314059514
"186","07","In",0.606986729117877
"187","07","La América",24.632908609963
"188","07","La Candelaria",136.969696969697
"189","07","Laureles Estadio",78.8485156045148
"190","07","Manrique",22.0899475238471
"191","07","Popular",13.6567197759465
"192","07","Robledo",55.5444139537315
"193","07","San Javier",16.3446356729299
"194","07","Santa Cruz",13.4455674694923
"195","07","Villa Hermosa",23.07668121033
"196","08","",2.26338332391019
"197","08","Aranjuez",47.0452599671594
"198","08","AU",0.228571428571429
"199","08","Belén",56.8243757380359
"200","08","Buenos Aires",29.8729704838639
"201","08","Castilla",68.6758799991032
"202","08","Corregimiento de Altavista",2.14097560215229
"203","08","Corregimiento de San Antonio de Prado",5.12323845025623
"204","08","Corregimiento de San Cristóbal",10.6858979751113
"205","08","Corregimiento de Santa Elena",4.11312406540438
"206","08","Doce de Octubre",18.4399659891784
"207","08","El Poblado",57.4710920249276
"208","08","Guayabal",58.3457611728824
"209","08","In",0.57464291860265
"210","08","La América",31.9816002744705
"211","08","La Candelaria",130.825406540654
"212","08","Laureles Estadio",77.6358083052737
"213","08","Manrique",23.0783526641941
"214","08","Popular",12.8240963676681
"215","08","Robledo",51.4662580794979
"216","08","San Javier",13.6849204643972
"217","08","Santa Cruz",11.5932083677441
"218","08","Villa Hermosa",22.0836124160705
