"","MES","COMUNA","A�O_2018_PRED"
"140","06","AU",0.252873563218391
"141","06","Belén",228.601787944362
"142","06","Buenos Aires",127.050467142847
"143","06","Castilla",291.716321641991
"144","06","Corregimiento de Altavista",11.9000481250931
"145","06","Corregimiento de San Antonio de Prado",37.9299025324828
"146","06","Corregimiento de San Cristóbal",35.6876041164283
"147","06","Corregimiento de Santa Elena",13.4857871983694
"148","06","Doce de Octubre",88.9248348360237
"149","06","El Poblado",268.916090238492
"150","06","Guayabal",223.946985918294
"151","06","In",2.56238340460743
"152","06","La América",96.5954942973581
"153","06","La Candelaria",606.213696134319
"154","06","Laureles Estadio",320.058182301185
"155","06","Manrique",101.081412770324
"156","06","Popular",47.911985105618
"157","06","Robledo",209.446291089148
"158","06","San Javier",62.3419297746771
"159","06","Santa Cruz",48.8741457587492
"160","06","SN",0.67948717948718
"161","06","Villa Hermosa",78.565359024938
"162","07","",9.76772921020704
"163","07","Aranjuez",211.881844885407
"164","07","AU",0.33974358974359
"165","07","Belén",234.921862180957
"166","07","Buenos Aires",124.381910757019
"167","07","Castilla",284.04130662551
"168","07","Corregimiento de Altavista",13.5553214637703
"169","07","Corregimiento de San Antonio de Prado",36.2206800458183
"170","07","Corregimiento de San Cristóbal",41.133917073662
"171","07","Corregimiento de Santa Elena",13.8904372423177
"172","07","Doce de Octubre",93.1625045460565
"173","07","El Poblado",268.764435085339
"174","07","Guayabal",248.444378178457
"175","07","In",2.83974792836023
"176","07","La América",116.052906294147
"177","07","La Candelaria",629.410261911147
"178","07","Laureles Estadio",339.091572906674
"179","07","Manrique",98.6807415387974
"180","07","Popular",56.7233763619964
"181","07","Robledo",223.852047418421
"182","07","San Javier",70.4397824330752
"183","07","Santa Cruz",51.4127034163487
"184","07","Villa Hermosa",88.45064495042
"185","08","",11.7183822673381
"186","08","Aranjuez",206.45543972552
"187","08","AU",0.463470757430489
"188","08","Belén",235.355336598106
"189","08","Buenos Aires",133.520853912877
"190","08","Castilla",304.769396055159
"191","08","Corregimiento de Altavista",8.82074053159672
"192","08","Corregimiento de San Antonio de Prado",36.5403187158454
"193","08","Corregimiento de San Cristóbal",42.483224285477
"194","08","Corregimiento de Santa Elena",15.6940024062536
"195","08","Doce de Octubre",102.809583034526
"196","08","El Poblado",280.828668297015
