"","SEMANA","COMUNA","A�O_2017_PRED","A�O_2018_PRED"
"1",NA,"Aranjuez",2.33628318584071,2.21100917431193
"2",NA,"Belén",2.06569343065693,2.16666666666667
"3",NA,"Buenos Aires",2.33628318584071,2.21100917431193
"4",NA,"Castilla",7.7,7.1010101010101
"5",NA,"Corregimiento de Altavista",0.570135746606335,0.497737556561086
"6",NA,"Doce de Octubre",0.570135746606335,0.497737556561086
"7",NA,"El Poblado",4.03921568627451,3.76
"8",NA,"Guayabal",6.21782178217822,5.70707070707071
"9",NA,"In",0.570135746606335,0.497737556561086
"10",NA,"La América",4.77884615384615,4.03030303030303
"11",NA,"La Candelaria",10.65,10.2020202020202
"12",NA,"Laureles Estadio",9.28282828282828,8.94949494949495
"13",NA,"Manrique",1.95901639344262,1.93162393162393
"14",NA,"Popular",0.800554016620499,0.575187969924812
"15",NA,"Robledo",4.03921568627451,3.76
"16",NA,"San Javier",0.800554016620499,0.575187969924812
"17",NA,"Villa Hermosa",0.570135746606335,0.497737556561086
"18","00","",2.76222271272486,2.58022087583404
"19","00","Aranjuez",32.7599165556483,32.4489694791582
"20","00","Belén",30.4619033386523,29.8476530005942
"21","00","Buenos Aires",15.607887857198,14.5505710253354
"22","00","Castilla",49.3314783654206,45.409656468505
"23","00","Corregimiento de Altavista",3.49179195526141,2.88868394742561
"24","00","Corregimiento de San Antonio de Prado",4.74786347262065,4.00127247431309
"25","00","Corregimiento de San Cristóbal",8.22102667016897,8.70837654302468
"26","00","Corregimiento de Santa Elena",5.34833154132139,5.13441857948463
"27","00","Doce de Octubre",14.8196240680011,13.7117702542724
"28","00","El Poblado",31.9638964189888,32.0305320439649
"29","00","Guayabal",28.16470502763,28.2397373737374
"30","00","In",1.06012658227848,0.731012658227848
"31","00","La América",14.887766163588,14.4282884563266
"32","00","La Candelaria",73.1313915000631,66.3091919191919
"33","00","Laureles Estadio",39.3245738435545,37.6897860962567
"34","00","Manrique",19.3108557465894,19.5573372602512
"35","00","Popular",9.75771452897955,9.07823630301506
"36","00","Robledo",35.304544129453,33.4934146873807
"37","00","San Javier",10.1525052626461,9.71398291715311
"38","00","Santa Cruz",7.78119535616105,7.42479178627207
"39","00","Villa Hermosa",13.2030827848573,13.1253438504301
"40","01","",4.68874684468302,4.29187049250999
"41","01","Aranjuez",37.594680661792,36.47865926985
"42","01","Belén",44.1171346469622,43.4388438843884
"43","01","Buenos Aires",23.2845608524749,22.3352346886157
"44","01","Castilla",66.3159380705506,60.962627792191
"45","01","Corregimiento de Altavista",3.66350114543906,3.52088549614633
"46","01","Corregimiento de San Antonio de Prado",6.96792401300079,6.54210789272914
"47","01","Corregimiento de San Cristóbal",5.66541918050298,5.47194905484987
"48","01","Corregimiento de Santa Elena",7.36864647319958,7.70141620964346
"49","01","Doce de Octubre",15.8081261741918,15.3591743523777
"50","01","El Poblado",48.3838440575233,44.7972913718787
"51","01","Guayabal",38.1930910040727,35.3107714891824
"52","01","La América",24.0932695037976,24.308907295164
"53","01","La Candelaria",118.69701543005,119.452645264526
"54","01","Laureles Estadio",58.4627811586237,54.6478738844758
"55","01","Manrique",20.6214109498126,18.9304093077676
"56","01","Popular",8.07947211737919,7.76758606353077
"57","01","Robledo",43.2141253100795,42.8346332017441
"58","01","San Javier",11.8808350411178,12.1997091688995
"59","01","Santa Cruz",13.7728076946077,13.347286152901
"60","01","Villa Hermosa",17.2124145111073,16.3073393208701
"61","02","",3.37731686928318,2.85098164841101
"62","02","Aranjuez",49.5412944310591,46.6790535720239
"63","02","Belén",52.5425669649616,49.8398692810458
"64","02","Buenos Aires",27.487724667511,25.7589410593325
"65","02","Castilla",72.619128031026,64.0029092909291
"66","02","Corregimiento de Altavista",4.53150828818853,4.19587209257063
"67","02","Corregimiento de San Antonio de Prado",6.24191010600847,5.80639043899919
"68","02","Corregimiento de San Cristóbal",9.96306290751443,9.72628682195655
"69","02","Corregimiento de Santa Elena",5.75608178246908,5.82655145827162
"70","02","Doce de Octubre",19.8008119824836,18.8670105864966
"71","02","El Poblado",61.9682893799509,57.4433936985932
"72","02","Guayabal",53.3078983282503,50.0053299407611
"73","02","In",1.62110219203458,1.23101265822785
"74","02","La América",26.7857433859281,26.2388697353898
"75","02","La Candelaria",140.464667466747,139.325555555556
"76","02","Laureles Estadio",78.1052019452019,71.3057435743574
"77","02","Manrique",18.0311737381382,18.2688500197423
"78","02","Popular",13.1557700720669,12.9073438062032
"79","02","Robledo",46.9447698675069,46.3226046134025
"80","02","San Javier",15.2384606806014,15.683534347809
"81","02","Santa Cruz",10.9703532719188,10.3918903719599
"82","02","Villa Hermosa",18.8690195779753,18.3086005239256
"83","02","Corregimiento de San Sebastián de Palmitas",0.5,0.584745762711864
"84","03","",2.96574133182913,3.08537573357571
"85","03","Aranjuez",39.6793113533891,38.2442794460442
"86","03","AU",0.5,0.584745762711864
"87","03","Belén",54.8177345993825,53.20853238265
"88","03","Buenos Aires",34.8469352005372,33.4478674213887
"89","03","Castilla",69.1208472551848,62.1670677067707
"90","03","Corregimiento de Altavista",3.79192988132413,3.53593835993396
"91","03","Corregimiento de San Antonio de Prado",6.55366379991768,6.23080554073166
"92","03","Corregimiento de San Cristóbal",7.77502134365389,7.87451837742852
"93","03","Corregimiento de Santa Elena",5.71928515965021,5.45332656146061
"94","03","Doce de Octubre",21.5289421889464,19.7818766222924
"95","03","El Poblado",63.8393413846323,61.9058615861586
"96","03","Guayabal",61.6733425873794,57.3982828282828
"97","03","In",2.13111135636243,2.16722908198481
