"","COMUNA","FECHA","A�O_2017_PRED","A�O_2018_PRED"
"1","",2018-01-01,0.570135746606335,0.497737556561086
"2","",2018-01-02,0.570135746606335,0.497737556561086
"3","",2018-01-04,0.560975609756098,0.5
"4","",2018-01-05,0.560975609756098,0.5
"5","",2018-01-06,0.5,0.584745762711864
"6","",2018-01-07,1.06012658227848,0.731012658227848
"7","",2018-01-09,0.570135746606335,0.497737556561086
"8","",2018-01-10,0.772598870056497,0.647457627118644
"9","",2018-01-11,0.560975609756098,0.5
"10","",2018-01-12,1.16393442622951,1.41566265060241
"11","",2018-01-13,0.560975609756098,0.5
"12","",2018-01-14,0.560975609756098,0.5
"13","",2018-01-16,0.740831295843521,0.584967320261438
"14","",2018-01-18,0.772598870056497,0.647457627118644
"15","",2018-01-19,0.560975609756098,0.5
"16","",2018-01-20,0.741935483870968,0.618556701030928
"17","",2018-01-22,1.16393442622951,1.41566265060241
"18","",2018-01-23,0.5,0.584745762711864
"19","",2018-01-24,0.740831295843521,0.584967320261438
"20","",2018-01-25,0.560975609756098,0.5
"21","",2018-01-28,0.75201072386059,0.534534534534535
"22","",2018-01-29,0.570135746606335,0.497737556561086
"23","",2018-01-30,0.560975609756098,0.5
"24","",2018-02-01,0.560975609756098,0.5
"25","",2018-02-02,0.75201072386059,0.534534534534535
"26","",2018-02-03,0.560975609756098,0.5
"27","",2018-02-04,0.570135746606335,0.497737556561086
"28","",2018-02-05,0.772598870056497,0.647457627118644
"29","",2018-02-07,0.5,0.584745762711864
"30","",2018-02-08,0.741935483870968,0.618556701030928
"31","",2018-02-09,1.06012658227848,0.731012658227848
"32","",2018-02-12,0.560975609756098,0.5
"33","",2018-02-13,0.560975609756098,0.5
"34","",2018-02-16,0.560975609756098,0.5
"35","",2018-02-17,0.570135746606335,0.497737556561086
"36","",2018-02-19,1.79901960784314,1.8448275862069
"37","",2018-02-20,0.560975609756098,0.5
"38","",2018-02-22,1.06012658227848,0.731012658227848
"39","",2018-02-24,0.560975609756098,0.5
"40","",2018-02-25,1.11070110701107,1.57391304347826
"41","",2018-02-27,0.800554016620499,0.575187969924812
"42","",2018-03-01,0.741935483870968,0.618556701030928
"43","",2018-03-02,0.796657381615599,0.719354838709677
"44","",2018-03-04,0.96031746031746,1.14782608695652
"45","",2018-03-06,0.570135746606335,0.497737556561086
"46","",2018-03-07,0.570135746606335,0.497737556561086
"47","",2018-03-08,0.5,0.584745762711864
"48","",2018-03-09,1.16393442622951,1.41566265060241
"49","",2018-03-10,0.570135746606335,0.497737556561086
"50","",2018-03-11,1.18965517241379,1.37795275590551
"51","",2018-03-12,0.772598870056497,0.647457627118644
"52","",2018-03-14,0.75201072386059,0.534534534534535
"53","",2018-03-16,1.06012658227848,0.731012658227848
"54","",2018-03-17,2.22685185185185,2.20720720720721
"55","",2018-03-18,0.5,0.584745762711864
"56","",2018-03-19,0.5,0.584745762711864
"57","",2018-03-20,0.5,0.584745762711864
"58","",2018-03-21,0.5,0.584745762711864
"59","",2018-03-22,0.560975609756098,0.5
"60","",2018-03-23,0.5,0.584745762711864
"61","",2018-03-24,0.5,0.584745762711864
"62","",2018-03-25,0.75201072386059,0.534534534534535
"63","",2018-03-27,0.5,0.584745762711864
"64","",2018-03-29,1.06012658227848,0.731012658227848
"65","",2018-03-30,0.800554016620499,0.575187969924812
"66","",2018-04-01,0.570135746606335,0.497737556561086
"67","",2018-04-02,0.772598870056497,0.647457627118644
"68","",2018-04-03,0.75201072386059,0.534534534534535
"69","",2018-04-04,1.18067226890756,1.05769230769231
"70","",2018-04-05,1.06012658227848,0.731012658227848
"71","",2018-04-06,0.560975609756098,0.5
"72","",2018-04-07,0.800554016620499,0.575187969924812
"73","",2018-04-08,1.18965517241379,1.37795275590551
"74","",2018-04-09,1.37743190661479,1.56363636363636
"75","",2018-04-10,0.740831295843521,0.584967320261438
"76","",2018-04-11,1.06012658227848,0.731012658227848
"77","",2018-04-12,1.06012658227848,0.731012658227848
"78","",2018-04-13,0.560975609756098,0.5
"79","",2018-04-15,0.800554016620499,0.575187969924812
"80","",2018-04-19,0.570135746606335,0.497737556561086
"81","",2018-04-20,0.570135746606335,0.497737556561086
"82","",2018-04-21,0.560975609756098,0.5
"83","",2018-04-22,0.560975609756098,0.5
"84","",2018-04-23,1.06012658227848,0.731012658227848
"85","",2018-04-24,0.772598870056497,0.647457627118644
"86","",2018-04-26,1.11070110701107,1.57391304347826
"87","",2018-04-27,0.800554016620499,0.575187969924812
"88","",2018-04-28,1.07194244604317,0.909722222222222
"89","",2018-04-29,0.570135746606335,0.497737556561086
"90","",2018-04-30,1.06012658227848,0.731012658227848
"91","",2018-05-02,0.5,0.584745762711864
"92","",2018-05-03,0.75201072386059,0.534534534534535
"93","",2018-05-04,0.560975609756098,0.5
"94","",2018-05-05,1.16393442622951,1.41566265060241
"95","",2018-05-06,0.560975609756098,0.5
"96","",2018-05-08,0.560975609756098,0.5
"97","",2018-05-09,0.740831295843521,0.584967320261438
"98","",2018-05-12,1.06012658227848,0.731012658227848
"99","",2018-05-13,1.06012658227848,0.731012658227848
"100","",2018-05-14,0.570135746606335,0.497737556561086
"101","",2018-05-16,0.570135746606335,0.497737556561086
"102","",2018-05-17,0.560975609756098,0.5
"103","",2018-05-18,0.772598870056497,0.647457627118644
"104","",2018-05-19,1.06012658227848,0.731012658227848
"105","",2018-05-20,1.06012658227848,0.731012658227848
"106","",2018-05-21,0.560975609756098,0.5
"107","",2018-05-22,0.75201072386059,0.534534534534535
"108","",2018-05-23,0.5,0.584745762711864
